Year,Month,Day,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,States,Proxy Information,Firewall Logs,IPS Alerts,Log Source,Source IP Address,Destination IP Address
2023,May,8,51676,57148,UDP,852,Control,DNS,IoC Detected,23.41,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Reyansh Dhar,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_3) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/31.0.897.0 Safari/533.1",Segment A,Himachal Pradesh,194.38.189.104,Unknown,Alert Data,Firewall,144.19.179.241,37.100.65.15
2022,April,28,35632,40455,TCP,1239,Data,FTP,Unknown,86.33,Unknown,Intrusion,Known Pattern B,Logged,Low,Advik Ghose,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/42.0.822.0 Mobile/22C825 Safari/531.0",Segment B,Nagaland,Unknown,Unknown,Alert Data,Server,19.113.63.143,76.214.111.8
2021,May,17,21102,32330,ICMP,512,Control,HTTP,IoC Detected,4.66,Unknown,Malware,Known Pattern B,Ignored,Medium,Zara Sarin,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/14.0.816.0 Mobile/60P690 Safari/532.0",Segment A,Himachal Pradesh,Unknown,Log Data,Unknown,Server,28.37.228.12,188.67.72.131
2023,July,7,22466,51347,ICMP,507,Data,FTP,IoC Detected,85.09,Unknown,Malware,Known Pattern A,Blocked,High,Tarini Gupta,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),Segment C,Himachal Pradesh,150.50.201.75,Log Data,Unknown,Firewall,165.182.3.31,9.166.251.142
2020,September,6,28425,53827,ICMP,873,Data,FTP,Unknown,75.08,Alert Triggered,Malware,Known Pattern A,Blocked,High,Anvi Singhal,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5 rv:6.0; the-NP) AppleWebKit/531.30.3 (KHTML, like Gecko) Version/4.0.5 Safari/531.30.3",Segment A,Haryana,215.53.148.101,Log Data,Unknown,Firewall,194.175.63.149,207.208.166.27
2023,March,17,1656,10160,ICMP,308,Data,FTP,Unknown,53.29,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Arnav Dasgupta,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/4.1),Segment C,Manipur,139.206.7.72,Log Data,Unknown,Firewall,156.110.63.236,185.220.235.95
2020,December,25,1361,62883,UDP,80,Control,FTP,Unknown,67.62,Unknown,Intrusion,Known Pattern A,Ignored,High,Jayant Shetty,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/23.0.834.0 Safari/531.0",Segment C,West Bengal,Unknown,Log Data,Alert Data,Firewall,129.242.108.148,84.203.237.90
2021,March,22,7187,46168,UDP,696,Data,DNS,Unknown,43.11,Unknown,Malware,Known Pattern A,Ignored,Medium,Prerak Bava,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5; rv:1.9.6.20) Gecko/6649-07-17 18:37:46 Firefox/7.0,Segment B,Gujarat,Unknown,Unknown,Unknown,Server,122.179.16.99,178.235.208.160
2020,May,9,6460,51544,UDP,632,Data,HTTP,Unknown,31.99,Unknown,Malware,Known Pattern A,Logged,Medium,Devansh Tailor,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.30.3 (KHTML, like Gecko) Version/5.1 Safari/531.30.3",Segment C,Punjab,Unknown,Log Data,Unknown,Server,74.133.113.39,173.48.170.61
2021,March,9,64126,37974,TCP,862,Data,FTP,Unknown,3.7,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Ritvik Grewal,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/16.8w6313.0 Mobile/34N137 Safari/533.1",Segment B,Uttar Pradesh,165.94.237.188,Unknown,Unknown,Firewall,13.37.150.36,75.185.56.58
2022,March,17,19931,59225,UDP,70,Data,DNS,IoC Detected,44.08,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Vanya Dhar,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6 rv:2.0; ht-HT) AppleWebKit/534.18.1 (KHTML, like Gecko) Version/4.0 Safari/534.18.1",Segment C,Telangana,Unknown,Unknown,Unknown,Firewall,150.118.196.121,145.86.109.234
2023,August,29,44906,19929,UDP,1107,Data,HTTP,IoC Detected,48.63,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Damini Goel,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/11.7i5354.0 Mobile/63U854 Safari/536.2",Segment B,Bihar,111.57.252.62,Log Data,Unknown,Server,54.79.55.128,212.119.30.145
2021,May,31,40348,9363,ICMP,277,Control,DNS,Unknown,91.82,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Madhav Chakrabarti,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.0),Segment C,Punjab,71.239.70.109,Log Data,Unknown,Firewall,81.85.77.217,5.224.245.185
2023,February,14,25981,54081,UDP,1077,Control,FTP,Unknown,35.11,Unknown,Malware,Known Pattern A,Logged,Medium,Madhup Bhatia,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.20.1 (KHTML, like Gecko) Version/5.0.2 Safari/531.20.1",Segment A,West Bengal,187.210.160.81,Log Data,Alert Data,Firewall,210.103.61.171,210.195.120.71
2021,March,23,48407,12572,UDP,387,Data,DNS,Unknown,24.72,Alert Triggered,Malware,Known Pattern B,Ignored,High,Arhaan Sani,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1; rv:1.9.3.20) Gecko/9926-01-10 19:38:25 Firefox/3.8,Segment C,Tamil Nadu,Unknown,Unknown,Unknown,Firewall,71.111.24.253,74.36.129.95
2022,January,23,51137,37997,TCP,689,Control,DNS,Unknown,18.43,Unknown,DDoS,Known Pattern A,Logged,High,Nishith Sha,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; kw-GB) AppleWebKit/531.30.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.30.6",Segment A,Odisha,102.76.136.190,Log Data,Unknown,Server,19.24.127.13,58.146.18.244
2023,February,3,22546,13303,UDP,1093,Data,FTP,Unknown,42.28,Unknown,DDoS,Known Pattern B,Logged,Medium,Ayesha Ramesh,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/53.0.883.0 Safari/533.2",Segment C,Chhattisgarh,213.77.226.9,Unknown,Unknown,Firewall,102.105.239.184,54.160.14.249
2021,February,18,27036,5298,ICMP,1420,Control,DNS,Unknown,85.21,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Jivin Bahri,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; mt-MT) AppleWebKit/532.11.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.11.4",Segment C,Tamil Nadu,121.117.150.208,Unknown,Unknown,Firewall,108.48.95.146,191.40.184.98
2020,April,23,41656,10612,UDP,710,Control,FTP,IoC Detected,62.47,Unknown,Intrusion,Known Pattern B,Blocked,Low,Abram Sarkar,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),Segment B,Haryana,Unknown,Unknown,Unknown,Server,107.59.88.85,28.209.136.169
2021,January,8,4195,63786,TCP,173,Data,HTTP,Unknown,60.41,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Dishani Deol,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/24.0.814.0 Safari/532.2",Segment B,Gujarat,202.57.29.251,Unknown,Unknown,Firewall,57.193.180.85,101.10.209.128
2020,November,14,19971,37459,TCP,1493,Data,FTP,IoC Detected,34.35,Alert Triggered,DDoS,Known Pattern A,Logged,High,Anahi Chana,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.1),Segment C,Goa,211.52.242.61,Unknown,Unknown,Firewall,33.102.110.34,181.19.206.166
2023,January,29,60057,45613,UDP,1017,Data,DNS,Unknown,12.49,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Bhavin Wagle,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1),Segment C,Bihar,49.143.84.201,Unknown,Alert Data,Server,76.31.246.222,93.43.175.88
2022,April,7,38187,53922,ICMP,569,Data,DNS,IoC Detected,31.82,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Manikya Sharaf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3; rv:1.9.5.20) Gecko/7963-11-08 21:04:58 Firefox/12.0,Segment A,Chhattisgarh,Unknown,Unknown,Alert Data,Firewall,44.8.75.245,158.58.181.155
2020,April,6,6433,56760,UDP,1040,Control,DNS,Unknown,40.91,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Jivika Bakshi,Opera/9.93.(Windows NT 4.0; ml-IN) Presto/2.9.165 Version/10.00,Segment A,Uttarakhand,Unknown,Unknown,Alert Data,Firewall,205.254.16.105,103.79.47.183
2022,February,6,35296,22551,UDP,1128,Control,HTTP,Unknown,21.26,Unknown,Intrusion,Known Pattern A,Blocked,High,Inaaya  Chacko,"Mozilla/5.0 (Linux; Android 4.2.2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/18.0.863.0 Safari/536.2",Segment A,Himachal Pradesh,136.111.197.189,Log Data,Alert Data,Firewall,122.143.199.209,109.18.225.99
2023,April,9,51807,8908,TCP,406,Data,HTTP,Unknown,87.47,Unknown,DDoS,Known Pattern A,Blocked,Medium,Eva Kanda,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; gl-ES) AppleWebKit/534.41.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.41.4",Segment A,Maharashtra,Unknown,Unknown,Unknown,Firewall,78.163.215.253,46.174.216.127
2022,November,11,39948,17206,UDP,151,Control,FTP,Unknown,32.52,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Devansh Tandon,Mozilla/5.0 (Android 4.4.2; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0,Segment A,Goa,Unknown,Unknown,Alert Data,Server,143.136.4.153,122.64.37.222
2021,October,14,14169,36509,UDP,1382,Control,HTTP,IoC Detected,11.71,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Darshit Barman,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/25.0.896.0 Mobile/04N967 Safari/531.2",Segment B,Assam,Unknown,Log Data,Alert Data,Firewall,133.97.2.180,125.75.164.117
2020,October,14,30039,24617,ICMP,1442,Control,FTP,Unknown,26.41,Unknown,Intrusion,Known Pattern A,Blocked,Medium,Rasha Bali,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/24.0.894.0 Mobile/72S438 Safari/536.0",Segment C,Meghalaya,Unknown,Log Data,Alert Data,Server,204.21.14.207,72.100.187.136
2021,October,10,48129,37735,TCP,1066,Control,HTTP,Unknown,97.45,Alert Triggered,Malware,Known Pattern A,Logged,High,Aarush Shukla,Opera/9.56.(X11; Linux x86_64; pt-BR) Presto/2.9.171 Version/11.00,Segment B,Arunachal Pradesh,Unknown,Log Data,Unknown,Server,156.104.99.137,18.221.132.72
2020,December,17,12877,60759,UDP,478,Control,FTP,Unknown,48.95,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Taimur Gala,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_5 rv:2.0; iu-CA) AppleWebKit/533.40.7 (KHTML, like Gecko) Version/4.0.1 Safari/533.40.7",Segment C,Assam,154.103.166.222,Unknown,Unknown,Firewall,28.185.18.228,142.192.76.21
2023,February,23,8981,62480,TCP,1063,Data,DNS,Unknown,11.21,Unknown,Intrusion,Known Pattern A,Logged,Medium,Hiran Sanghvi,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1 rv:3.0; sc-IT) AppleWebKit/533.29.5 (KHTML, like Gecko) Version/5.0.1 Safari/533.29.5",Segment C,Sikkim,Unknown,Log Data,Alert Data,Firewall,53.169.100.124,149.174.164.134
2023,May,24,27278,63717,TCP,867,Data,HTTP,Unknown,45.35,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Anika Borde,Opera/9.33.(X11; Linux i686; ast-ES) Presto/2.9.179 Version/12.00,Segment C,Odisha,90.151.180.51,Unknown,Unknown,Firewall,202.227.141.20,125.200.18.245
2023,July,14,29177,41149,ICMP,66,Control,HTTP,IoC Detected,46.96,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Anya Bhakta,"Mozilla/5.0 (Linux; Android 2.3.5) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/59.0.827.0 Safari/536.1",Segment C,Manipur,Unknown,Log Data,Alert Data,Firewall,212.235.184.93,55.174.191.179
2021,August,25,15000,27090,TCP,336,Control,DNS,IoC Detected,90.77,Unknown,Malware,Known Pattern A,Blocked,High,Riya Kant,Opera/8.17.(X11; Linux i686; km-KH) Presto/2.9.181 Version/10.00,Segment A,Kerala,Unknown,Log Data,Alert Data,Firewall,117.191.60.170,9.140.89.165
2021,January,2,32302,35993,TCP,501,Control,DNS,Unknown,68.42,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Divyansh Ratti,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1),Segment B,Manipur,Unknown,Unknown,Alert Data,Firewall,115.17.3.205,155.52.35.65
2023,August,12,11810,56646,TCP,1230,Control,HTTP,Unknown,84.9,Alert Triggered,Malware,Known Pattern A,Blocked,High,Jayant Balay,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.16.1 (KHTML, like Gecko) Version/4.0 Safari/532.16.1",Segment B,Uttarakhand,Unknown,Log Data,Unknown,Server,66.95.22.23,126.21.49.231
2020,August,11,10961,21576,UDP,726,Data,FTP,Unknown,28.91,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Kismat Kothari,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/47.0.880.0 Safari/533.0",Segment C,West Bengal,202.100.25.15,Log Data,Alert Data,Firewall,169.10.175.16,134.242.110.75
2023,January,28,2465,57101,UDP,478,Data,HTTP,Unknown,15.46,Unknown,Malware,Known Pattern A,Blocked,Medium,Taimur Dyal,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.19.7 (KHTML, like Gecko) Version/5.0 Safari/533.19.7",Segment C,Karnataka,9.193.84.200,Unknown,Alert Data,Server,216.193.251.36,180.133.199.28
2023,May,18,44765,31091,UDP,1118,Data,DNS,IoC Detected,46.96,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Ojas Rau,Mozilla/5.0 (Windows 95; wa-BE; rv:1.9.0.20) Gecko/2814-10-22 00:32:33 Firefox/3.8,Segment B,Mizoram,153.44.131.143,Log Data,Alert Data,Server,38.124.108.150,102.86.8.82
2023,July,11,62371,46143,UDP,1344,Data,FTP,Unknown,57.86,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Neelofar Tandon,Opera/9.41.(X11; Linux x86_64; ti-ET) Presto/2.9.180 Version/12.00,Segment A,Tripura,123.51.160.22,Log Data,Unknown,Server,190.240.179.250,25.227.25.236
2021,July,27,27286,1418,TCP,467,Control,DNS,IoC Detected,59.12,Unknown,Intrusion,Known Pattern A,Ignored,High,Indrajit Chad,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),Segment B,Maharashtra,70.75.76.145,Log Data,Unknown,Server,180.70.235.43,205.201.244.171
2021,August,23,26824,10931,ICMP,753,Data,FTP,Unknown,51.5,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Vedika Grover,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/3.1),Segment B,Uttar Pradesh,110.28.204.211,Log Data,Unknown,Server,22.21.28.114,57.4.205.135
2023,August,1,32040,7555,TCP,720,Data,HTTP,Unknown,42.62,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Ishaan Tandon,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/13.2e8639.0 Mobile/82L337 Safari/531.2",Segment A,Odisha,Unknown,Log Data,Unknown,Firewall,143.160.72.226,66.110.52.232
2022,October,9,7628,35604,ICMP,339,Data,HTTP,Unknown,43.04,Unknown,DDoS,Known Pattern B,Blocked,Low,Miraan Batta,Opera/8.76.(X11; Linux x86_64; wal-ET) Presto/2.9.180 Version/11.00,Segment C,Goa,4.74.170.13,Unknown,Alert Data,Server,181.154.190.146,6.234.42.114
2021,April,21,25054,42552,ICMP,73,Data,FTP,Unknown,37.8,Unknown,Malware,Known Pattern A,Blocked,Low,Dharmajan Bajaj,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/40.0.840.0 Safari/531.1",Segment B,Kerala,189.200.122.63,Log Data,Alert Data,Server,104.97.29.229,185.248.42.97
2021,January,21,58840,53862,UDP,177,Control,HTTP,IoC Detected,99.55,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Jivin Khosla,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/35.0.847.0 Mobile/77L313 Safari/531.1",Segment C,Haryana,Unknown,Unknown,Unknown,Firewall,45.12.129.84,63.30.80.178
2020,June,22,59545,57387,UDP,1125,Control,HTTP,IoC Detected,43.8,Unknown,DDoS,Known Pattern B,Logged,High,Emir Anand,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1),Segment B,Tripura,2.243.138.59,Log Data,Unknown,Firewall,80.240.23.188,14.66.153.80
2020,May,1,21156,24982,TCP,957,Control,DNS,Unknown,17.38,Alert Triggered,Intrusion,Known Pattern B,Ignored,Medium,Siya Kanda,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/58.0.819.0 Mobile/42P359 Safari/533.0",Segment A,Rajasthan,Unknown,Unknown,Unknown,Server,165.121.78.120,102.132.84.254
2020,March,25,35258,27056,UDP,426,Data,DNS,Unknown,27.48,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Vivaan Joshi,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/24.0.848.0 Safari/535.0",Segment A,Gujarat,Unknown,Log Data,Unknown,Server,49.125.125.56,139.108.21.247
2023,January,30,25795,30559,TCP,231,Control,FTP,Unknown,63.78,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Sara Sankar,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5; rv:1.9.2.20) Gecko/9583-10-20 11:31:34 Firefox/5.0,Segment C,Punjab,Unknown,Log Data,Alert Data,Firewall,139.206.4.196,74.79.167.98
2020,February,24,55610,9635,ICMP,360,Data,HTTP,Unknown,38.11,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Chirag Suri,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/17.0.818.0 Safari/531.1",Segment C,Madhya Pradesh,Unknown,Unknown,Unknown,Firewall,187.20.254.222,210.217.92.189
2021,November,10,23507,5258,UDP,975,Data,HTTP,IoC Detected,44.39,Unknown,Malware,Known Pattern B,Logged,Medium,Jayan Goswami,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),Segment C,Chhattisgarh,56.172.114.64,Unknown,Unknown,Server,145.251.230.55,193.77.17.17
2021,June,25,38107,12612,TCP,759,Data,HTTP,Unknown,2.13,Unknown,Malware,Known Pattern B,Ignored,High,Shray Sharma,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0),Segment C,Gujarat,77.227.49.139,Unknown,Alert Data,Firewall,16.72.63.168,141.98.222.207
2022,May,12,12998,18099,TCP,1121,Control,FTP,IoC Detected,26.72,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Farhan Badal,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3; rv:1.9.2.20) Gecko/2076-05-11 11:03:40 Firefox/3.6.11,Segment C,Manipur,Unknown,Log Data,Unknown,Firewall,4.116.204.92,156.54.47.226
2023,February,4,47844,52836,UDP,925,Data,HTTP,Unknown,5.87,Unknown,DDoS,Known Pattern B,Blocked,Medium,Ritvik Johal,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1),Segment A,Manipur,Unknown,Log Data,Unknown,Server,166.103.31.26,60.8.201.111
2021,May,12,5696,33565,TCP,325,Control,HTTP,IoC Detected,37.21,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Samiha Behl,Mozilla/5.0 (Android 2.3.1; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0,Segment C,Himachal Pradesh,Unknown,Log Data,Unknown,Server,108.134.56.207,181.108.11.70
2023,March,16,52133,62062,ICMP,945,Data,HTTP,IoC Detected,81.3,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Dishani Dada,Opera/9.95.(Windows NT 5.01; yue-HK) Presto/2.9.162 Version/12.00,Segment B,Rajasthan,30.143.48.35,Unknown,Alert Data,Server,186.45.71.220,52.27.52.13
2020,December,31,42477,9118,ICMP,773,Data,FTP,Unknown,30.56,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Diya Ravi,Opera/8.70.(Windows 98; es-AR) Presto/2.9.177 Version/12.00,Segment B,Goa,Unknown,Unknown,Alert Data,Server,209.229.129.57,97.54.114.81
2023,April,29,39040,6052,ICMP,821,Data,DNS,Unknown,87.34,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Trisha Acharya,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1),Segment B,Assam,Unknown,Unknown,Alert Data,Server,180.248.100.103,31.21.216.190
2020,August,28,6234,55069,TCP,923,Control,FTP,IoC Detected,20.57,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Fateh Agate,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/39.0.845.0 Safari/536.2",Segment A,Andhra Pradesh,Unknown,Log Data,Alert Data,Firewall,134.83.249.219,40.66.133.79
2021,August,23,22488,24330,UDP,1390,Control,HTTP,Unknown,1.82,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Renee Gole,Mozilla/5.0 (Windows NT 10.0; st-ZA; rv:1.9.0.20) Gecko/4910-04-24 19:47:21 Firefox/3.6.1,Segment A,Madhya Pradesh,Unknown,Unknown,Alert Data,Server,15.194.197.150,203.133.236.119
2021,July,29,29880,51185,UDP,1193,Control,DNS,IoC Detected,93.02,Alert Triggered,Malware,Known Pattern B,Ignored,High,Nayantara Behl,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.15.1 (KHTML, like Gecko) Version/5.0.4 Safari/533.15.1",Segment C,Kerala,186.58.207.10,Unknown,Alert Data,Firewall,63.188.217.135,101.134.211.236
2021,October,6,61564,51926,UDP,1094,Control,FTP,IoC Detected,70.2,Alert Triggered,DDoS,Known Pattern B,Logged,High,Hiran Butala,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_3 rv:5.0; nl-BE) AppleWebKit/533.13.6 (KHTML, like Gecko) Version/5.0.1 Safari/533.13.6",Segment C,Rajasthan,123.129.34.147,Log Data,Alert Data,Firewall,54.53.194.183,38.220.42.154
2021,June,30,46527,31126,ICMP,1141,Control,FTP,IoC Detected,98.16,Unknown,Malware,Known Pattern B,Ignored,High,Manjari Desai,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_3 rv:2.0; sl-SI) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/4.0.3 Safari/535.18.1",Segment C,Tripura,111.244.161.40,Unknown,Unknown,Firewall,12.126.69.159,69.135.72.181
2022,July,27,32220,3881,ICMP,1269,Data,HTTP,Unknown,72.23,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Misha Kaur,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.0),Segment C,Assam,Unknown,Unknown,Alert Data,Firewall,201.239.131.128,64.142.135.125
2022,January,13,17857,28430,TCP,1331,Control,HTTP,Unknown,23.71,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Anika Khanna,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/58.0.825.0 Safari/532.2",Segment B,Haryana,Unknown,Unknown,Unknown,Server,71.228.125.223,194.253.24.121
2021,March,23,13535,44623,TCP,143,Data,FTP,IoC Detected,76.33,Unknown,Malware,Known Pattern A,Ignored,Low,Stuvan Swaminathan,Mozilla/5.0 (Android 5.0.1; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,Segment C,Punjab,20.192.230.193,Log Data,Alert Data,Server,189.155.138.189,96.23.60.109
2020,December,23,50405,55631,ICMP,710,Control,DNS,Unknown,43.8,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Arnav Chandra,Mozilla/5.0 (Windows NT 4.0; mg-MG; rv:1.9.2.20) Gecko/8860-06-06 21:05:06 Firefox/3.8,Segment C,Chhattisgarh,163.188.113.236,Unknown,Alert Data,Firewall,135.163.67.126,210.162.161.65
2020,July,21,52547,54679,ICMP,94,Data,DNS,IoC Detected,71.88,Unknown,DDoS,Known Pattern A,Ignored,Medium,Umang Reddy,Opera/9.32.(X11; Linux i686; nb-NO) Presto/2.9.173 Version/12.00,Segment B,Maharashtra,223.202.137.218,Unknown,Alert Data,Firewall,137.224.124.61,92.159.59.192
2020,November,23,13381,9217,ICMP,1397,Control,FTP,Unknown,27.52,Unknown,Intrusion,Known Pattern B,Ignored,High,Vivaan Rama,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/532.27.4 (KHTML, like Gecko) Version/5.0.4 Safari/532.27.4",Segment A,Maharashtra,80.98.132.67,Log Data,Alert Data,Server,187.102.149.165,175.181.176.254
2023,July,5,50677,55000,TCP,1481,Data,DNS,IoC Detected,50.46,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Taran Iyengar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; uz-UZ) AppleWebKit/533.21.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.21.4",Segment C,Arunachal Pradesh,Unknown,Log Data,Alert Data,Firewall,67.77.46.239,85.249.248.155
2020,September,9,22809,10515,TCP,1093,Control,HTTP,Unknown,83.66,Alert Triggered,Malware,Known Pattern B,Logged,High,Lakshit Mani,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/34.0.808.0 Safari/534.2",Segment A,Andhra Pradesh,9.133.164.198,Log Data,Unknown,Server,93.185.5.61,43.89.179.6
